,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,sorafenib,BRCA,targets,0,4,0.6296296296296297,0.6357142857142857,0.4444444444444444,0.35714285714285715,4,3,2,0
1,sorafenib,BRCA,DiffExp,0,12,0.8888888888888888,1.0,0.7777777777777778,1.0,5,2,0,2
2,sorafenib,BRCA,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,sorafenib,BRCA,edge,0,0,0.8888888888888888,1.0,0.7777777777777778,1.0,5,2,0,2
4,sorafenib,BRCA,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,sorafenib,BRCA,edge-random,0,0,0.8888888888888888,1.0,0.7777777777777778,1.0,5,2,0,2
6,sorafenib,BRCA,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
7,sorafenib,BRCA,node,0,0,0.8888888888888888,1.0,0.7777777777777778,1.0,5,2,0,2
8,sorafenib,BRCA,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,sorafenib,BRCA,node-random,0,0,0.8888888888888888,1.0,0.7777777777777778,1.0,5,2,0,2
10,sorafenib,BRCA,node-norm,0,2,0.6666666666666666,0.6928571428571428,0.5555555555555556,0.5,4,3,1,1
11,sorafenib,BRCA,node-norm-random,0,2,0.6296296296296297,0.7071428571428571,0.5555555555555556,0.4285714285714286,4,3,1,1
12,sorafenib,BRCA,targets,1,4,0.5925925925925926,0.6142857142857143,0.5555555555555556,0.7142857142857143,4,3,1,1
13,sorafenib,BRCA,DiffExp,1,12,0.9629629629629629,1.0,1.0,1.0,7,0,0,2
14,sorafenib,BRCA,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
15,sorafenib,BRCA,edge,1,0,0.9629629629629629,1.0,1.0,1.0,7,0,0,2
16,sorafenib,BRCA,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,sorafenib,BRCA,edge-random,1,0,0.9629629629629629,1.0,1.0,1.0,7,0,0,2
18,sorafenib,BRCA,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,sorafenib,BRCA,node,1,0,0.9629629629629629,1.0,1.0,1.0,7,0,0,2
20,sorafenib,BRCA,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
