,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Ipi+Pembro,SKCM,targets,0,2,0.6111111111111112,0.6666666666666667,0.8571428571428571,0.6666666666666667,2,1,0,4
1,Ipi+Pembro,SKCM,DiffExp,0,16,0.9444444444444444,1.0,1.0,1.0,3,0,0,4
2,Ipi+Pembro,SKCM,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,Ipi+Pembro,SKCM,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
4,Ipi+Pembro,SKCM,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,Ipi+Pembro,SKCM,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,Ipi+Pembro,SKCM,node-norm,0,302,1.0,1.0,0.5714285714285714,0.5833333333333334,1,2,1,3
7,Ipi+Pembro,SKCM,node-norm-random,0,302,1.0,1.0,0.5714285714285714,0.5,1,2,1,3
8,Ipi+Pembro,SKCM,edge+targets,0,2,0.6111111111111112,0.6666666666666667,0.8571428571428571,0.6666666666666667,2,1,0,4
9,Ipi+Pembro,SKCM,edge+targets-random,0,2,0.7777777777777778,0.9027777777777779,0.8571428571428571,0.8333333333333334,3,0,1,3
10,Ipi+Pembro,SKCM,node+targets,0,2,0.6111111111111112,0.6666666666666667,0.8571428571428571,0.6666666666666667,2,1,0,4
11,Ipi+Pembro,SKCM,node+targets-random,0,2,0.7222222222222222,0.8055555555555556,0.8571428571428571,1.0,2,1,0,4
12,Ipi+Pembro,SKCM,node-norm+targets,0,304,1.0,1.0,0.5714285714285714,0.5833333333333334,1,2,1,3
13,Ipi+Pembro,SKCM,node-norm+targets-random,0,304,1.0,1.0,0.5714285714285714,0.75,1,2,1,3
14,Ipi+Pembro,SKCM,targets,1,2,0.6111111111111112,0.6805555555555556,0.5714285714285714,0.6666666666666666,2,1,2,2
15,Ipi+Pembro,SKCM,DiffExp,1,16,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
16,Ipi+Pembro,SKCM,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,Ipi+Pembro,SKCM,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
18,Ipi+Pembro,SKCM,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
