,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Nivo,SKCM,targets,0,1,0.5679012345679012,0.5786713286713286,0.42857142857142855,0.4678362573099415,9,10,6,3
1,Nivo,SKCM,DiffExp,0,818,1.0,1.0,0.75,0.8830409356725146,14,5,2,7
2,Nivo,SKCM,edge,0,23,0.7777777777777778,0.8559440559440559,0.6785714285714286,0.7777777777777778,12,7,2,7
3,Nivo,SKCM,edge-random,0,23,0.7901234567901234,0.9083916083916084,0.6071428571428571,0.8245614035087719,9,10,1,8
4,Nivo,SKCM,node,0,6,0.6790123456790124,0.7601398601398601,0.6071428571428571,0.6491228070175439,11,8,3,6
5,Nivo,SKCM,node-random,0,6,0.7037037037037037,0.7748251748251749,0.6071428571428571,0.7777777777777777,9,10,1,8
6,Nivo,SKCM,node-norm,0,45,0.9753086419753086,0.9902097902097902,0.5,0.6842105263157895,9,10,4,5
7,Nivo,SKCM,node-norm-random,0,45,0.8765432098765432,0.9608391608391609,0.75,0.8771929824561404,13,6,1,8
8,Nivo,SKCM,targets,1,1,0.5802469135802469,0.5727272727272728,0.4642857142857143,0.49415204678362573,9,10,5,4
9,Nivo,SKCM,DiffExp,1,818,1.0,1.0,0.7857142857142857,0.8830409356725146,15,4,2,7
10,Nivo,SKCM,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,Nivo,SKCM,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,Nivo,SKCM,node,1,1,0.5925925925925926,0.6664335664335664,0.6428571428571429,0.6842105263157895,14,5,5,4
13,Nivo,SKCM,node-random,1,1,0.5185185185185185,0.5657342657342658,0.4642857142857143,0.7017543859649124,5,14,1,8
14,Nivo,SKCM,node-norm,1,45,0.9135802469135802,0.9790209790209791,0.6071428571428571,0.7836257309941521,12,7,4,5
15,Nivo,SKCM,node-norm-random,1,45,0.9135802469135802,0.9706293706293706,0.8214285714285714,0.9298245614035088,16,3,2,7
16,Nivo,SKCM,targets,2,1,0.5432098765432098,0.5678321678321678,0.5,0.5116959064327485,11,8,6,3
17,Nivo,SKCM,DiffExp,2,818,1.0,1.0,0.7857142857142857,0.8771929824561404,17,2,4,5
18,Nivo,SKCM,edge,2,27,0.7777777777777778,0.8685314685314685,0.7142857142857143,0.7894736842105263,13,6,2,7
19,Nivo,SKCM,edge-random,2,27,0.8518518518518519,0.9195804195804196,0.7142857142857143,0.7660818713450293,14,5,3,6
20,Nivo,SKCM,node,2,10,0.7283950617283951,0.8083916083916084,0.7142857142857143,0.7309941520467836,14,5,3,6
21,Nivo,SKCM,node-random,2,10,0.7777777777777778,0.8853146853146854,0.7857142857142857,0.736842105263158,15,4,2,7
22,Nivo,SKCM,node-norm,2,45,0.8271604938271605,0.8958041958041958,0.7142857142857143,0.8070175438596492,13,6,2,7
23,Nivo,SKCM,node-norm-random,2,45,0.9876543209876543,1.0,0.7857142857142857,0.8362573099415205,16,3,3,6
24,Nivo,SKCM,targets,3,1,0.5308641975308642,0.5751748251748252,0.4642857142857143,0.49707602339181284,12,7,8,1
25,Nivo,SKCM,DiffExp,3,818,1.0,1.0,0.7857142857142857,0.8888888888888888,14,5,1,8
26,Nivo,SKCM,edge,3,33,0.7654320987654321,0.8482517482517482,0.5714285714285714,0.6549707602339181,12,7,5,4
27,Nivo,SKCM,edge-random,3,33,0.9753086419753086,0.9965034965034965,0.75,0.8128654970760234,14,5,2,7
28,Nivo,SKCM,node,3,16,0.8024691358024691,0.8265734265734266,0.6071428571428571,0.6081871345029239,14,5,6,3
29,Nivo,SKCM,node-random,3,16,0.7777777777777778,0.855944055944056,0.8214285714285714,0.912280701754386,17,2,3,6
30,Nivo,SKCM,node-norm,3,46,0.7901234567901234,0.8804195804195805,0.6785714285714286,0.7251461988304093,13,6,3,6
31,Nivo,SKCM,node-norm-random,3,46,0.8765432098765432,0.948951048951049,0.7142857142857143,0.7485380116959064,13,6,2,7
32,Nivo,SKCM,targets,4,1,0.5432098765432098,0.5769230769230769,0.5,0.47953216374269003,11,8,6,3
33,Nivo,SKCM,DiffExp,4,818,1.0,1.0,0.8571428571428571,0.8771929824561403,18,1,3,6
34,Nivo,SKCM,edge,4,2,0.6296296296296297,0.6986013986013986,0.6785714285714286,0.6549707602339181,14,5,4,5
35,Nivo,SKCM,edge-random,4,2,0.654320987654321,0.6594405594405593,0.6071428571428571,0.6666666666666666,11,8,3,6
36,Nivo,SKCM,node,4,3,0.6172839506172839,0.7055944055944056,0.6785714285714286,0.672514619883041,12,7,2,7
37,Nivo,SKCM,node-random,4,3,0.6419753086419753,0.7160839160839161,0.6428571428571429,0.7777777777777779,11,8,2,7
38,Nivo,SKCM,node-norm,4,45,0.8395061728395061,0.8860139860139861,0.6785714285714286,0.8128654970760234,13,6,3,6
39,Nivo,SKCM,node-norm-random,4,45,0.8888888888888888,0.9825174825174826,0.6428571428571429,0.7134502923976609,13,6,4,5
40,Nivo,SKCM,targets,5,1,0.5432098765432098,0.5608391608391607,0.5357142857142857,0.5672514619883041,10,9,4,5
41,Nivo,SKCM,DiffExp,5,818,1.0,1.0,0.8214285714285714,0.7660818713450293,19,0,5,4
42,Nivo,SKCM,edge,5,29,0.8395061728395061,0.893006993006993,0.6785714285714286,0.6432748538011696,15,4,5,4
43,Nivo,SKCM,edge-random,5,29,0.8271604938271605,0.951048951048951,0.7142857142857143,0.7894736842105263,16,3,5,4
44,Nivo,SKCM,node,5,10,0.7530864197530864,0.8160839160839161,0.6428571428571429,0.6900584795321638,14,5,5,4
45,Nivo,SKCM,node-random,5,10,0.7407407407407407,0.8286713286713286,0.6428571428571429,0.7134502923976609,14,5,5,4
46,Nivo,SKCM,node-norm,5,46,0.8271604938271605,0.8937062937062937,0.75,0.7836257309941521,17,2,5,4
47,Nivo,SKCM,node-norm-random,5,46,0.8641975308641975,0.9699300699300699,0.75,0.7777777777777778,17,2,5,4
48,Nivo,SKCM,targets,6,1,0.5185185185185185,0.5895104895104895,0.5357142857142857,0.4181286549707602,14,5,8,1
