,Patient,Gene1,Gene2,Edge,Curvature,Response
0,A549_LUNG,NRP1,HGF,NRP1;HGF,0.0,0
1,A549_LUNG,NRP1,KDR,NRP1;KDR,0.0,0
2,A549_LUNG,FGF2,HGF,FGF2;HGF,0.0,0
3,A549_LUNG,FGF2,KDR,FGF2;KDR,0.0,0
4,A549_LUNG,FGF2,EGFR,FGF2;EGFR,0.0,0
5,A549_LUNG,FGF2,NTRK1,FGF2;NTRK1,0.0,0
6,A549_LUNG,FGF2,CD44,FGF2;CD44,0.5006173844844027,0
7,A549_LUNG,FGF2,FN1,FGF2;FN1,0.5804393426233854,0
8,A549_LUNG,CD44,HGF,CD44;HGF,0.4020499943527426,0
9,A549_LUNG,CD44,EGFR,CD44;EGFR,0.39783637794113125,0
10,A549_LUNG,CD44,MET,CD44;MET,0.5674927618936131,0
11,A549_LUNG,CD44,FN1,CD44;FN1,0.5626575500637818,0
12,A549_LUNG,KDR,HGF,KDR;HGF,0.0,0
13,A549_LUNG,EGFR,HGF,EGFR;HGF,0.0,0
14,A549_LUNG,EGFR,ERBB3,EGFR;ERBB3,0.0,0
15,A549_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.0,0
16,A549_LUNG,EGFR,MET,EGFR;MET,0.4658009198304047,0
17,A549_LUNG,EGFR,IGF1,EGFR;IGF1,0.0,0
18,A549_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.0,0
19,A549_LUNG,FN1,HGF,FN1;HGF,0.3366380393343342,0
20,A549_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.5097047271642179,0
21,A549_LUNG,FN1,ITGB2,FN1;ITGB2,-0.4989015265137098,0
22,A549_LUNG,MET,HGF,MET;HGF,0.21740179052250286,0
23,A549_LUNG,MET,ERBB3,MET;ERBB3,0.5190071132450074,0
24,A549_LUNG,IGF1,IGFBP5,IGF1;IGFBP5,0.0,0
25,A549_LUNG,IGF1,IGFBP3,IGF1;IGFBP3,0.0,0
26,A549_LUNG,IGF1,NTRK1,IGF1;NTRK1,0.0,0
27,A549_LUNG,IGF1,IGF1R,IGF1;IGF1R,0.0,0
28,A549_LUNG,IGF1,IGF2,IGF1;IGF2,0.0,0
29,A549_LUNG,IGF1,IGFALS,IGF1;IGFALS,0.0,0
30,A549_LUNG,ITGB2,THY1,ITGB2;THY1,0.0,0
31,A549_LUNG,ITGB2,ITGAM,ITGB2;ITGAM,0.0,0
32,A549_LUNG,NTRK1,HGF,NTRK1;HGF,0.0,0
33,A549_LUNG,PPARG,FABP4,PPARG;FABP4,0.0,0
34,A549_LUNG,ERBB3,HGF,ERBB3;HGF,0.0,0
35,A549_LUNG,IGF1R,HGF,IGF1R;HGF,0.0,0
36,A549_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,0.0,0
37,A549_LUNG,IGF1R,IGF2,IGF1R;IGF2,0.0,0
38,A549_LUNG,CD36,FABP4,CD36;FABP4,0.0,0
39,A549_LUNG,HGF,IL7,HGF;IL7,0.0,0
40,A549_LUNG,ITGAM,THY1,ITGAM;THY1,0.0,0
41,A549_LUNG,LPL,FABP4,LPL;FABP4,0.0,0
42,A549_LUNG,IL13RA2,CHI3L1,IL13RA2;CHI3L1,0.0,0
