,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Atezo,BLCA,targets,0,1,0.5605381165919282,0.5562015503875969,0.6,0.5760649087221095,36,22,8,9
1,Atezo,BLCA,DiffExp,0,38,0.7982062780269058,0.8914728682170542,0.6666666666666666,0.6511156186612577,40,18,7,10
2,Atezo,BLCA,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,Atezo,BLCA,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
4,Atezo,BLCA,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,Atezo,BLCA,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,Atezo,BLCA,node-norm,0,71,0.8116591928251121,0.9068627450980392,0.56,0.5476673427991887,34,24,9,8
7,Atezo,BLCA,node-norm-random,0,71,0.8609865470852018,0.9475604195166438,0.6666666666666666,0.6977687626774848,38,20,5,12
8,Atezo,BLCA,edge+targets,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,Atezo,BLCA,edge+targets-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
10,Atezo,BLCA,node+targets,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,Atezo,BLCA,node+targets-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,Atezo,BLCA,node-norm+targets,0,71,0.8116591928251121,0.9068627450980392,0.56,0.5476673427991887,34,24,9,8
13,Atezo,BLCA,node-norm+targets-random,0,71,0.8834080717488789,0.9606703146374829,0.6266666666666667,0.6957403651115619,38,20,8,9
14,Atezo,BLCA,targets,1,1,0.600896860986547,0.6051071591427268,0.48,0.44726166328600403,30,28,11,6
15,Atezo,BLCA,DiffExp,1,38,0.7668161434977578,0.8758549931600548,0.6266666666666667,0.6774847870182557,38,20,8,9
16,Atezo,BLCA,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,Atezo,BLCA,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
18,Atezo,BLCA,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,Atezo,BLCA,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
20,Atezo,BLCA,node-norm,1,66,0.757847533632287,0.8685590515275877,0.6133333333333333,0.5912778904665315,41,17,12,5
21,Atezo,BLCA,node-norm-random,1,66,0.852017937219731,0.9444824441404469,0.6666666666666666,0.6298174442190669,42,16,9,8
22,Atezo,BLCA,edge+targets,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
23,Atezo,BLCA,edge+targets-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
24,Atezo,BLCA,node+targets,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
25,Atezo,BLCA,node+targets-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
26,Atezo,BLCA,node-norm+targets,1,66,0.757847533632287,0.8685590515275877,0.6133333333333333,0.5912778904665315,41,17,12,5
27,Atezo,BLCA,node-norm+targets-random,1,66,0.8340807174887892,0.9271545827633378,0.6533333333333333,0.6298174442190669,44,14,12,5
28,Atezo,BLCA,targets,2,1,0.5739910313901345,0.5748974008207934,0.5733333333333334,0.5233265720081136,35,23,9,8
29,Atezo,BLCA,DiffExp,2,38,0.7847533632286996,0.8956908344733243,0.68,0.6196754563894523,43,15,9,8
